,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
117,7.6,0.18,0.36,2.4,0.049,38.0,123.0,0.996,3.6,0.46,10.3,5,red
118,9.3,0.5,0.36,1.8,0.084,6.0,17.0,0.9970399999999999,3.27,0.77,10.8,6,white
119,9.8,0.93,0.45,8.6,0.052000000000000005,34.0,187.0,0.9994,3.12,0.59,10.2,4,red
120,7.2,0.37,0.4,11.6,0.032,34.0,214.0,0.9963,3.1,0.51,9.8,6,red
121,7.9,0.25,0.29,5.3,0.031,33.0,117.0,0.9918,3.06,0.32,11.8,7,red
122,7.2,0.51,0.24,10.0,0.09300000000000001,35.0,197.0,0.9981,3.41,0.47,9.0,5,red
123,6.0,0.26,0.18,7.0,0.055,50.0,194.0,0.9959100000000001,3.21,0.43,9.0,5,red
124,8.3,0.28,0.45,7.8,0.059000000000000004,32.0,139.0,0.9972,3.33,0.77,11.2,6,red
125,7.8,0.24,0.32,12.2,0.054000000000000006,42.0,138.0,0.9984,3.01,0.54,8.8,5,red
126,7.2,0.23,0.25,18.8,0.085,19.0,111.0,1.00044,3.1,0.51,8.7,5,red
127,7.4,0.3,0.32,1.7,0.03,23.0,128.0,0.9929,3.17,0.66,10.9,5,red
128,13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6,white
129,10.0,0.38,0.38,1.6,0.16899999999999998,27.0,90.0,0.9991399999999999,3.15,0.65,8.5,5,white
130,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,white
131,10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,6,white
132,8.3,0.21,0.49,19.8,0.054000000000000006,50.0,231.0,1.0012,2.99,0.54,9.2,5,red
133,8.1,0.2,0.4,2.0,0.037000000000000005,19.0,87.0,0.9921,3.12,0.54,11.2,6,red
134,7.0,0.26,0.46,15.55,0.037000000000000005,61.0,171.0,0.9986,2.94,0.35,8.8,6,red
135,6.5,0.5,0.22,4.1,0.036000000000000004,35.0,131.0,0.9902,3.26,0.55,13.0,7,red
136,6.3,0.21,0.31,1.2,0.043,30.0,117.0,0.9915799999999999,3.49,0.68,11.0,6,red
137,9.0,0.31,0.48,6.6,0.043,11.0,73.0,0.9938,2.9,0.38,11.6,5,red
138,7.0,0.23,0.28,2.7,0.053,16.0,92.0,0.99372,3.18,0.56,9.3,5,red
139,7.7,0.26,0.31,1.3,0.043,47.0,155.0,0.9937,3.42,0.5,10.1,6,red
140,6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.9996,2.93,0.47,8.9,5,red
141,5.9,0.48,0.3,1.5,0.037000000000000005,19.0,78.0,0.9905700000000001,3.47,0.42,11.9,7,red
142,11.6,0.41,0.58,2.8,0.096,25.0,101.0,1.00024,3.13,0.53,10.0,5,white
143,5.9,0.2,0.23,1.5,0.037000000000000005,38.0,93.0,0.99021,3.36,0.49,12.0,6,red
144,7.0,0.24,0.3,4.2,0.04,41.0,213.0,0.9927,3.28,0.49,11.8,6,red
145,6.8,0.19,0.23,5.1,0.034,71.0,204.0,0.9942,3.23,0.69,10.1,5,red
146,8.8,0.33,0.36,2.1,0.034,19.0,125.0,0.99166,2.96,0.98,12.7,6,red
147,5.7,0.26,0.25,10.4,0.02,7.0,57.0,0.9940000000000001,3.39,0.37,10.6,5,red
148,6.5,0.18,0.41,14.2,0.039,47.0,129.0,0.9967799999999999,3.28,0.72,10.3,7,red
149,8.0,0.45,0.23,2.2,0.094,16.0,29.0,0.9962,3.21,0.49,10.2,6,white
150,6.0,0.615,0.04,0.8,0.032,8.0,50.0,0.99036,3.14,0.4,11.0,4,red
151,10.0,0.58,0.22,1.9,0.08,9.0,32.0,0.9974,3.13,0.55,9.5,5,white
152,6.3,0.38,0.17,8.8,0.08,50.0,212.0,0.99803,3.47,0.66,9.4,4,red
153,5.6,0.42,0.34,2.4,0.022000000000000002,34.0,97.0,0.98915,3.22,0.38,12.8,7,red
154,6.4,0.23,0.3,7.1,0.037000000000000005,63.0,236.0,0.9952,3.06,0.34,9.2,6,red
155,6.7,0.22,0.39,10.2,0.038,60.0,149.0,0.99725,3.17,0.54,10.0,7,red
156,6.9,0.74,0.03,2.3,0.054000000000000006,7.0,16.0,0.99508,3.45,0.63,11.5,6,white
157,6.3,0.24,0.37,1.8,0.031,6.0,61.0,0.9897,3.3,0.34,12.2,4,red
158,10.0,0.26,0.54,1.9,0.083,42.0,74.0,0.99451,2.98,0.63,11.8,8,white
159,6.8,0.24,0.31,18.3,0.046,40.0,142.0,1.0,3.3,0.41,8.7,5,red
160,5.9,0.22,0.3,1.3,0.052000000000000005,42.0,86.0,0.99069,3.31,0.47,11.55,6,red
161,6.0,0.29,0.21,15.55,0.043,20.0,142.0,0.9965799999999999,3.11,0.54,10.1,6,red
162,6.2,0.33,0.19,5.6,0.042,22.0,143.0,0.99425,3.15,0.63,9.9,5,red
163,6.7,0.2,0.37,1.65,0.025,42.0,103.0,0.9902200000000001,3.11,0.45,11.4,5,red
164,7.1,0.39,0.39,11.1,0.034,25.0,204.0,0.99616,3.05,0.52,10.0,6,red
165,7.8,0.3,0.74,1.8,0.033,33.0,156.0,0.991,3.29,0.52,12.8,6,red
166,5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,13.0,7,white
167,8.7,0.23,0.32,13.4,0.044000000000000004,35.0,169.0,0.99975,3.12,0.47,8.8,7,red
168,6.4,0.24,0.26,8.2,0.054000000000000006,47.0,182.0,0.9953799999999999,3.12,0.5,9.5,5,red
169,7.6,0.27,0.33,2.0,0.059000000000000004,19.0,175.0,0.9944,3.22,0.56,9.9,5,red
170,6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,3.37,0.82,9.5,7,red
171,6.9,0.41,0.22,4.2,0.031,10.0,102.0,0.993,3.0,0.86,11.6,4,red
172,7.6,0.34,0.39,7.6,0.04,45.0,215.0,0.9965,3.11,0.53,9.2,6,red
173,7.1,0.21,0.4,1.2,0.069,24.0,156.0,0.9928,3.42,0.43,10.6,6,red
174,5.7,0.22,0.22,16.65,0.044000000000000004,39.0,110.0,0.99855,3.24,0.48,9.0,6,red
175,6.2,0.3,0.2,6.6,0.045,42.0,170.0,0.9944,3.36,0.45,10.4,6,red
176,8.2,0.6,0.17,2.3,0.07200000000000001,11.0,73.0,0.9963,3.2,0.45,9.3,5,white
177,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,white
178,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,white
179,6.7,0.46,0.27,5.2,0.039,35.0,96.0,0.99129,3.16,0.44,12.4,7,red
180,6.4,0.19,0.35,10.2,0.043,40.0,106.0,0.9963200000000001,3.16,0.5,9.7,6,red
181,6.2,0.33,0.14,4.8,0.052000000000000005,27.0,128.0,0.99475,3.21,0.48,9.4,5,red
182,6.2,0.31,0.23,3.3,0.052000000000000005,34.0,113.0,0.99429,3.16,0.48,8.4,5,red
183,6.1,0.15,0.4,1.2,0.03,19.0,84.0,0.98926,3.19,0.96,13.0,6,red
184,5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.992,3.51,0.58,12.5,7,red
185,5.6,0.245,0.32,1.1,0.047,24.0,152.0,0.9927,3.12,0.42,9.3,6,red
186,8.6,0.27,0.46,6.1,0.032,13.0,41.0,0.993,2.89,0.34,10.9,5,red
187,9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.9958,2.87,0.29,10.0,5,red
188,8.9,0.48,0.53,4.0,0.10099999999999999,3.0,10.0,0.9958600000000001,3.21,0.59,12.1,7,white
189,6.9,0.63,0.33,6.7,0.235,66.0,115.0,0.99787,3.22,0.56,9.5,5,white
190,7.3,0.3,0.22,6.4,0.055999999999999994,44.0,168.0,0.9947,3.13,0.35,10.1,6,red
191,6.8,0.815,0.0,1.2,0.267,16.0,29.0,0.99471,3.32,0.51,9.8,3,white
192,7.1,0.31,0.38,1.2,0.036000000000000004,10.0,124.0,0.9924,3.14,0.44,9.9,6,red
193,7.1,0.69,0.04,2.1,0.068,19.0,27.0,0.9971200000000001,3.44,0.67,9.8,5,white
194,5.2,0.21,0.31,1.7,0.048,17.0,61.0,0.9895299999999999,3.24,0.37,12.0,7,red
195,7.3,0.25,0.39,6.4,0.034,8.0,84.0,0.9942,3.18,0.46,11.5,5,red
196,10.0,0.59,0.31,2.2,0.09,26.0,62.0,0.9994,3.18,0.63,10.2,6,white
197,7.3,0.25,0.26,7.2,0.048,52.0,207.0,0.99587,3.12,0.37,9.2,5,red
198,7.6,0.3,0.37,1.6,0.087,27.0,177.0,0.9943799999999999,3.09,0.5,9.8,5,red
199,6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6,red
200,6.7,0.11,0.26,14.8,0.053,44.0,95.0,0.9967600000000001,3.2,0.35,9.8,6,red
201,8.2,0.15,0.48,2.7,0.052000000000000005,24.0,190.0,0.995,3.5,0.45,10.9,7,red
202,6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.99572,3.58,0.5,11.2,4,white
203,6.4,0.15,0.36,1.8,0.034,43.0,150.0,0.9922,3.42,0.69,11.0,8,red
204,5.8,0.2,0.34,1.0,0.035,40.0,86.0,0.98993,3.5,0.42,11.7,5,red
205,5.9,0.32,0.2,14.4,0.05,29.0,144.0,0.99666,3.24,0.41,10.3,6,red
206,6.3,0.23,0.33,6.9,0.052000000000000005,23.0,118.0,0.9938,3.23,0.46,10.4,6,red
207,9.6,0.655,0.21,2.0,0.039,21.0,120.0,0.9918799999999999,3.0,1.0,12.6,6,red
208,6.3,0.2,0.26,4.7,0.04,108.0,168.0,0.9927799999999999,3.07,0.75,10.7,7,red
209,6.8,0.57,0.29,2.2,0.04,15.0,77.0,0.9938,3.32,0.74,10.2,5,red
210,10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,6,white
211,8.1,0.33,0.36,7.4,0.037000000000000005,36.0,156.0,0.99592,3.19,0.54,10.6,6,red
212,5.8,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7,red
213,7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.9945799999999999,3.16,0.54,9.8,6,white
214,10.7,0.22,0.56,8.2,0.044000000000000004,37.0,181.0,0.998,2.87,0.68,9.5,6,red
215,7.1,0.17,0.31,1.6,0.037000000000000005,15.0,103.0,0.991,3.14,0.5,12.0,6,red
216,6.8,0.3,0.33,12.8,0.040999999999999995,60.0,168.0,0.99659,3.1,0.56,9.8,5,red
217,5.7,0.21,0.32,1.6,0.03,33.0,122.0,0.99044,3.33,0.52,11.9,6,red
218,8.3,0.2,0.49,1.7,0.038,38.0,167.0,0.9939,3.05,0.37,10.1,6,red
219,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5,red
220,7.4,0.35,0.33,2.4,0.068,9.0,26.0,0.9947,3.36,0.6,11.9,6,white
221,6.7,0.3,0.5,12.1,0.045,38.0,127.0,0.9974,3.04,0.53,8.9,6,red
222,6.8,0.16,0.29,10.4,0.046,59.0,143.0,0.99518,3.2,0.4,10.8,6,red
223,6.6,0.3,0.74,4.6,0.040999999999999995,36.0,159.0,0.9946,3.21,0.45,9.9,5,red
224,6.6,0.26,0.36,1.2,0.035,43.0,126.0,0.9909399999999999,3.01,0.63,11.4,6,red
225,6.5,0.34,0.36,11.0,0.052000000000000005,53.0,247.0,0.9984,3.44,0.55,9.3,6,red
226,7.9,0.37,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,9.3,5,white
227,7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,5,white
228,8.0,0.27,0.24,1.2,0.044000000000000004,20.0,102.0,0.9929,3.28,0.42,10.9,5,red
229,7.6,0.17,0.27,4.6,0.05,23.0,98.0,0.9942200000000001,3.08,0.47,9.5,6,red
230,6.8,0.28,0.44,11.5,0.04,58.0,223.0,0.9969,3.22,0.56,9.5,5,red
231,7.3,0.22,0.37,14.3,0.063,48.0,191.0,0.9978,2.89,0.38,9.0,6,red
232,6.4,0.22,0.34,1.4,0.023,56.0,115.0,0.9895799999999999,3.18,0.7,11.7,6,red
233,6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,6,red
234,6.8,0.4,0.29,2.8,0.044000000000000004,27.0,97.0,0.9904,3.12,0.42,11.2,6,red
235,6.2,0.36,0.22,5.25,0.038,44.0,145.0,0.9918399999999999,3.22,0.4,11.2,6,red
236,6.4,0.29,0.18,15.0,0.04,21.0,116.0,0.99736,3.14,0.5,9.2,5,red
237,6.5,0.22,0.25,17.1,0.05,44.0,138.0,1.0001,3.3,0.37,8.8,5,red
238,6.2,0.16,0.54,1.4,0.126,37.0,110.0,0.9932,3.23,0.37,8.9,6,red
239,6.6,0.25,0.24,1.7,0.048,26.0,124.0,0.9942,3.37,0.6,10.1,6,red
240,7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.99584,3.35,0.54,10.5,5,white
241,6.9,0.24,0.49,1.3,0.032,35.0,148.0,0.9932,3.45,0.57,10.7,7,red
242,7.5,0.18,0.45,4.6,0.040999999999999995,67.0,158.0,0.9927,3.01,0.38,10.6,6,red
243,7.0,0.44,0.24,12.1,0.055999999999999994,68.0,210.0,0.99718,3.05,0.5,9.5,5,red
244,5.7,0.265,0.28,6.9,0.036000000000000004,46.0,150.0,0.9929899999999999,3.36,0.44,10.8,7,red
245,6.7,0.34,0.3,8.5,0.059000000000000004,24.0,152.0,0.99615,3.46,0.64,11.0,7,red
246,6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,5,white
247,5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.995,3.65,0.72,10.1,6,red
248,9.4,0.28,0.3,1.6,0.045,36.0,139.0,0.99534,3.11,0.49,9.3,5,red
249,7.5,0.19,0.49,1.6,0.047,42.0,140.0,0.9932,3.4,0.47,10.7,6,red
250,7.4,0.155,0.34,2.3,0.045,73.5,214.0,0.9934,3.18,0.61,9.9,7,red
251,9.1,0.59,0.38,1.6,0.066,34.0,182.0,0.9968,3.23,0.38,8.5,3,red
252,6.1,0.35,0.24,2.3,0.034,25.0,133.0,0.9906,3.34,0.59,12.0,7,red
253,6.8,0.67,0.15,1.8,0.11800000000000001,13.0,20.0,0.9954,3.42,0.67,11.3,6,white
254,6.1,0.27,0.31,1.5,0.035,17.0,83.0,0.9907600000000001,3.32,0.44,11.1,7,red
255,7.1,0.2,0.27,9.6,0.037000000000000005,19.0,105.0,0.99444,3.04,0.37,10.5,7,red
256,6.3,0.36,0.2,2.0,0.048,48.0,191.0,0.9929,3.17,0.51,9.6,5,red
257,6.3,0.34,0.27,2.5,0.024,40.0,152.0,0.99095,3.35,0.6,11.9,7,red
258,9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,7,white
259,6.3,0.34,0.52,6.3,0.047,63.0,186.0,0.9948100000000001,3.18,0.44,9.6,5,red
